Zip_Code,Population,White,Black,Native_American,Asian,Hawaiian_Pacific_Islander,Other,Latino,Mixed_Race
89801,25920,16411,316,1137,365,18,29,7086,1116
89815,14027,12309,5,360,140,9,0,1132,144
89820,5561,3665,3,245,3,29,0,1577,78
89821,488,465,0,23,0,0,0,0,0
89822,2371,2042,46,94,3,0,0,181,10
89823,147,141,0,0,0,0,0,6,0
89825,1561,591,0,0,0,0,0,970,0
89826,0,0,0,0,0,0,0,0,0
89828,354,354,0,0,0,0,0,0,0
89830,145,145,0,0,0,0,0,0,0
89831,32,32,0,0,0,0,0,0,0
89832,1353,92,3,1135,12,5,0,69,74
89833,137,107,1,27,0,0,0,1,2
89834,124,34,36,31,0,0,0,23,0
89835,2094,1506,35,128,3,0,0,404,36
89883,4371,1429,0,0,0,89,0,2853,0
90001,58738,351,5275,12,88,0,169,52771,144
90002,52856,255,11215,310,299,31,137,40393,432
90003,70490,473,15309,51,200,0,102,54113,484
90004,62733,10709,2410,41,15501,329,303,32214,2452
90005,39562,3045,2328,122,13740,77,101,19591,1116
90006,62329,2444,1798,71,11280,99,167,46039,862
90007,41221,6835,4410,59,8250,141,184,20483,1718
90008,32359,1402,21240,88,1049,54,264,7520,1484
90010,3759,630,160,2,2471,0,11,393,184
90011,108051,626,8799,108,579,208,132,97454,290
90012,33783,5266,4182,203,13619,94,150,9644,1250
90013,11957,3409,3630,56,2002,18,136,1954,1504
90014,7408,3156,1305,44,1171,0,80,1318,668
90015,20187,2645,1307,14,2985,11,14,13033,356
90016,46303,3718,14918,51,1785,0,347,24579,1810
90017,26390,3140,1330,17,4050,132,0,17274,894
90018,52287,2600,15706,7,2209,67,356,30542,1600
90019,67415,10053,12156,72,10951,73,380,32146,3168
90020,39191,4541,1857,118,18763,344,82,12537,1898
90021,3158,687,712,33,52,0,0,1517,314
90022,67446,1445,137,131,844,17,132,64699,82
90023,47229,797,274,9,394,0,0,45724,62
90024,49718,25858,1018,39,14327,26,131,6141,4356
90025,47453,25157,1410,0,9772,35,95,8493,4982
90026,68609,17399,2455,82,11061,83,41,36000,2976
90027,45616,27398,1096,0,5851,68,244,9531,2856
90028,31054,15068,2636,175,2753,11,117,9159,2270
90029,38843,9471,1069,9,6741,83,68,20876,1052
90031,39103,3025,295,42,9211,48,57,26083,684
90032,47766,3516,620,142,4575,45,99,38474,590
90033,48841,1330,673,77,2524,24,36,44016,322
90034,56070,22415,5121,147,10352,163,601,15258,4026
90035,29920,21065,2119,0,2166,13,83,3283,2382
90036,38116,23516,1745,50,7408,81,397,3495,2848
90037,63238,1067,11180,91,648,0,367,49479,812
90038,27957,8468,1546,9,1413,0,149,15668,1408
90039,29092,11514,440,173,4669,66,70,11079,2162
90040,12925,178,187,99,114,0,18,12262,134
90041,28651,8386,345,0,8155,103,69,10761,1664
90042,63788,10129,1494,125,7871,96,283,42600,2380
90043,44571,1499,26208,23,507,44,429,15128,1466
90044,94680,955,32054,84,467,8,137,60011,1928
90045,41420,20393,5402,70,5804,64,176,7342,4338
90046,51615,38208,2661,55,3273,47,140,5273,3916
90047,48491,873,30846,10,335,115,198,15413,1402
90048,22860,17357,675,33,1875,12,73,1987,1696
90049,36362,29224,502,8,3152,0,39,2092,2690
90056,8014,1003,5504,0,421,0,0,667,838
90057,49389,2902,2108,38,9565,133,80,34052,1022
90058,3189,70,184,0,42,11,0,2870,24
90059,47351,472,14453,2,279,0,164,31765,432
90061,28003,240,8969,32,79,11,67,18225,760
90062,33627,430,10688,0,428,43,352,21266,840
90063,53556,1026,181,22,645,21,80,51481,200
90064,26007,16369,962,56,4634,32,62,3123,1538
90065,48420,9212,802,0,7463,19,97,29960,1734
